Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Customer_Value_Proxy_MYR,Churn_Probability,Customer_Segment,Priority_Score,Recommended_Action
Male,No,No,Yes,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.35,219.65,Yes,197.4,0.38513513513513514,Low Value + Low Risk,76.02567567567569,No immediate action
Male,No,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,669.0,Yes,659.75,0.7546583850931677,Low Value + High Risk,497.88586956521743,Use low-cost retention action
Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,68.95,Yes,68.95,0.8977272727272727,Low Value + High Risk,61.898295454545455,Use low-cost retention action
Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,196.75,Yes,187.7,0.7546583850931677,Low Value + High Risk,141.6493788819876,Use low-cost retention action
Male,No,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,318.9,Yes,304.2,0.5684931506849316,Low Value + High Risk,172.93561643835616,Use low-cost retention action
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.45,24.45,Yes,24.45,0.5437262357414449,Low Value + High Risk,13.294106463878327,Use low-cost retention action
Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.35,631.85,Yes,625.4499999999999,0.7546583850931677,Low Value + High Risk,472.0010869565217,Use low-cost retention action
Male,No,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,Yes,321.4,0.5684931506849316,Low Value + High Risk,182.713698630137,Use low-cost retention action
Female,Yes,No,No,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.8,55.8,Yes,55.8,0.5437262357414449,Low Value + High Risk,30.339923954372622,Use low-cost retention action
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.05,79.05,Yes,79.05,0.8977272727272727,Low Value + High Risk,70.9653409090909,Use low-cost retention action
Male,No,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,95.0,Yes,95.0,0.8977272727272727,Low Value + High Risk,85.2840909090909,Use low-cost retention action
Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.2,25.2,Yes,25.2,0.5437262357414449,Low Value + High Risk,13.70190114068441,Use low-cost retention action
Male,Yes,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.4,4187.75,Yes,4034.4,0.5088495575221239,High Value + High Risk,2052.902654867257,Prioritize retention offer
Male,Yes,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),79.4,5154.6,Yes,5240.400000000001,0.020599250936329586,High Value + Low Risk,107.94831460674158,Maintain relationship
Male,Yes,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3496.3,Yes,3549.0,0.5088495575221239,High Value + High Risk,1805.9070796460178,Prioritize retention offer
Male,Yes,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.8,914.3,Yes,898.0,0.7546583850931677,Low Value + High Risk,677.6832298136646,Use low-cost retention action
Male,No,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.75,6110.2,Yes,5926.5,0.32798165137614677,High Value + Low Risk,1943.783256880734,Maintain relationship
Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,28.3,Yes,38.6,0.35,Low Value + Low Risk,13.51,No immediate action
Female,Yes,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,Yes,2372.5,0.5088495575221239,High Value + High Risk,1207.245575221239,Prioritize retention offer
Female,No,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.1,679.55,Yes,736.5,0.38513513513513514,Low Value + Low Risk,283.65202702702703,No immediate action
Female,No,No,No,31,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),65.25,1994.3,Yes,2022.75,0.10276679841897234,High Value + Low Risk,207.87154150197628,Maintain relationship
Female,Yes,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.45,1505.85,Yes,1538.1000000000001,0.5088495575221239,High Value + High Risk,782.6615044247789,Prioritize retention offer
Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.1,5638.3,Yes,5740.099999999999,0.22826086956521738,High Value + Low Risk,1310.2402173913042,Maintain relationship
Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,71.65,Yes,71.65,0.8977272727272727,Low Value + High Risk,64.3221590909091,Use low-cost retention action
Male,No,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45,Yes,2511.6000000000004,0.5088495575221239,High Value + High Risk,1278.0265486725666,Prioritize retention offer
Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.25,210.3,Yes,222.75,0.5684931506849316,Low Value + High Risk,126.63184931506851,Use low-cost retention action
Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2,Yes,74.2,0.8977272727272727,Low Value + High Risk,66.61136363636363,Use low-cost retention action
Male,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,4388.4,Yes,4343.0,0.5088495575221239,High Value + High Risk,2209.933628318584,Prioritize retention offer
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,420.2,Yes,400.8,0.7546583850931677,Low Value + High Risk,302.46708074534166,Use low-cost retention action
Male,Yes,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,89.05,2177.45,Yes,2226.25,0.5088495575221239,High Value + High Risk,1132.8263274336284,Prioritize retention offer
Female,No,Yes,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.1,3913.3,Yes,3995.7,0.10276679841897234,High Value + Low Risk,410.6252964426877,Maintain relationship
Female,No,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,443.9,Yes,422.6,0.7546583850931677,Low Value + High Risk,318.9186335403727,Use low-cost retention action
Male,Yes,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.5,3436.1,Yes,3474.0,0.5088495575221239,High Value + High Risk,1767.7433628318583,Prioritize retention offer
Male,Yes,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.85,70.85,Yes,70.85,0.8977272727272727,Low Value + High Risk,63.60397727272726,Use low-cost retention action
Female,No,No,No,35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),85.95,3110.1,Yes,3008.25,0.10276679841897234,High Value + Low Risk,309.1482213438735,Maintain relationship
Male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,295.6,0.5684931506849316,Low Value + High Risk,168.0465753424658,Use low-cost retention action
Female,No,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.45,6144.55,Yes,6348.1,0.32798165137614677,High Value + Low Risk,2082.0603211009175,Maintain relationship
Female,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,2983.8,Yes,3006.0,0.5088495575221239,High Value + High Risk,1529.6017699115046,Prioritize retention offer
Female,No,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05,1565.7,Yes,1555.05,0.32798165137614677,High Value + Low Risk,510.027866972477,Maintain relationship
Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.55,298.35,Yes,304.65,0.7546583850931677,Low Value + High Risk,229.90667701863353,Use low-cost retention action
Male,Yes,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,4534.9,Yes,4589.95,0.5088495575221239,High Value + High Risk,2335.5940265486724,Prioritize retention offer
Female,No,Yes,No,21,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,55.95,1157.05,Yes,1174.95,0.2679738562091503,Low Value + Low Risk,314.8558823529412,No immediate action
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.75,45.75,Yes,45.75,0.5437262357414449,Low Value + High Risk,24.875475285171103,Use low-cost retention action
Male,No,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,815.5,Yes,824.45,0.5684931506849316,Low Value + High Risk,468.69417808219185,Use low-cost retention action
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.15,80.15,Yes,80.15,0.8977272727272727,Low Value + High Risk,71.95284090909091,Use low-cost retention action
Female,No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.25,8109.8,Yes,7866.0,0.06716417910447761,High Value + Low Risk,528.3134328358209,Maintain relationship
Female,No,No,No,3,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),35.2,108.95,Yes,105.60000000000001,0.5437262357414449,Low Value + High Risk,57.41749049429658,Use low-cost retention action
Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,Yes,78.8,0.8977272727272727,Low Value + High Risk,70.74090909090908,Use low-cost retention action
Female,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,5127.95,Yes,5000.8,0.5088495575221239,High Value + High Risk,2544.6548672566373,Prioritize retention offer
Male,No,No,No,18,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.4,874.8,Yes,889.1999999999999,0.10276679841897234,Low Value + Low Risk,91.3802371541502,No immediate action
Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.1,69.1,Yes,69.1,0.8977272727272727,Low Value + High Risk,62.03295454545454,Use low-cost retention action
Male,No,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.2,1776.55,Yes,1804.0,0.5088495575221239,High Value + High Risk,917.9646017699115,Prioritize retention offer
Female,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.55,536.4,Yes,561.3,0.7546583850931677,Low Value + High Risk,423.589751552795,Use low-cost retention action
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.85,80.85,Yes,80.85,0.8977272727272727,Low Value + High Risk,72.58125,Use low-cost retention action
Female,No,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,82.05,4029.95,Yes,3938.3999999999996,0.32798165137614677,High Value + Low Risk,1291.7229357798162,Maintain relationship
Male,No,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.55,51.15,Yes,61.650000000000006,0.06666666666666667,Low Value + Low Risk,4.11,No immediate action
Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.55,149.55,Yes,157.1,0.5684931506849316,Low Value + High Risk,89.31027397260274,Use low-cost retention action
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.65,78.65,Yes,78.65,0.8977272727272727,Low Value + High Risk,70.60625,Use low-cost retention action
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.9,42.9,Yes,42.9,0.5437262357414449,Low Value + High Risk,23.32585551330798,Use low-cost retention action
Female,No,No,No,3,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.25,139.35,Yes,102.75,0.5437262357414449,Low Value + High Risk,55.86787072243346,Use low-cost retention action
Female,No,No,No,9,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,58.5,539.85,Yes,526.5,0.19444444444444445,Low Value + Low Risk,102.375,No immediate action
Male,Yes,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.2,4718.25,Yes,4713.8,0.5088495575221239,High Value + High Risk,2398.615044247788,Prioritize retention offer
Female,Yes,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.4,434.1,Yes,446.40000000000003,0.5684931506849316,Low Value + High Risk,253.77534246575345,Use low-cost retention action
Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,Yes,631.8,0.7546583850931677,Low Value + High Risk,476.79316770186335,Use low-cost retention action
Male,No,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.85,1284.2,Yes,1181.6,0.5684931506849316,Low Value + High Risk,671.7315068493151,Use low-cost retention action
Female,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.55,646.85,Yes,591.85,0.7546583850931677,Low Value + High Risk,446.64456521739135,Use low-cost retention action
Female,No,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,692.1,Yes,618.75,0.020599250936329586,Low Value + Low Risk,12.745786516853931,No immediate action
Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,Yes,1716.0,0.32798165137614677,High Value + Low Risk,562.8165137614678,Maintain relationship
Female,No,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,86.6,Yes,97.8,0.38513513513513514,Low Value + Low Risk,37.66621621621621,No immediate action
Male,No,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.7,2979.5,Yes,2959.6,0.5088495575221239,High Value + High Risk,1505.9911504424779,Prioritize retention offer
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.25,24.25,Yes,24.25,0.5437262357414449,Low Value + High Risk,13.185361216730037,Use low-cost retention action
Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,837.95,Yes,841.5,0.5684931506849316,Low Value + High Risk,478.3869863013699,Use low-cost retention action
Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,362.2,Yes,374.0,0.7546583850931677,Low Value + High Risk,282.2422360248447,Use low-cost retention action
Female,Yes,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),101.5,5373.1,Yes,5481.0,0.32798165137614677,High Value + Low Risk,1797.6674311926604,Maintain relationship
Male,No,No,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.9,2068.55,Yes,2097.2000000000003,0.32798165137614677,High Value + Low Risk,687.843119266055,Maintain relationship
Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,131.65,Yes,139.2,0.5684931506849316,Low Value + High Risk,79.13424657534247,Use low-cost retention action
Male,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.05,24.05,Yes,24.05,0.35,Low Value + Low Risk,8.4175,No immediate action
Female,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.55,50.55,Yes,50.55,0.5437262357414449,Low Value + High Risk,27.485361216730034,Use low-cost retention action
Male,No,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.55,1415.55,Yes,1407.7,0.7546583850931677,High Value + High Risk,1062.3326086956522,Prioritize retention offer
Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,20.5,Yes,20.5,0.35,Low Value + Low Risk,7.175,No immediate action
Male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.8,321.9,Yes,299.2,0.5684931506849316,Low Value + High Risk,170.09315068493152,Use low-cost retention action
Female,No,Yes,No,20,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,482.8,Yes,489.0,0.2679738562091503,Low Value + Low Risk,131.0392156862745,No immediate action
Female,No,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.0,914.0,Yes,994.0,0.5684931506849316,Low Value + High Risk,565.082191780822,Use low-cost retention action
Female,Yes,No,No,30,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.3,1172.95,Yes,1209.0,0.2679738562091503,Low Value + Low Risk,323.98039215686276,No immediate action
Female,No,No,No,3,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.6,155.35,Yes,151.8,0.5437262357414449,Low Value + High Risk,82.53764258555134,Use low-cost retention action
Female,No,Yes,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.85,3303.05,Yes,3394.0,0.5088495575221239,High Value + High Risk,1727.0353982300885,Prioritize retention offer
Female,No,Yes,Yes,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,65.7,134.35,Yes,131.4,0.20689655172413793,Low Value + Low Risk,27.186206896551724,No immediate action
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.5,70.5,Yes,70.5,0.8977272727272727,Low Value + High Risk,63.28977272727273,Use low-cost retention action
Female,No,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.85,953.45,Yes,948.5,0.7546583850931677,Low Value + High Risk,715.7934782608696,Use low-cost retention action
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,Yes,19.75,0.35,Low Value + Low Risk,6.9125,No immediate action
Male,No,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.45,937.6,Yes,916.3000000000001,0.38513513513513514,Low Value + Low Risk,352.89932432432437,No immediate action
Male,Yes,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5812.6,Yes,5724.6,0.5088495575221239,High Value + High Risk,2912.9601769911505,Prioritize retention offer
Male,No,Yes,No,22,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),67.5,1544.05,Yes,1485.0,0.10276679841897234,High Value + Low Risk,152.6086956521739,Maintain relationship
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,69.6,0.8977272727272727,Low Value + High Risk,62.48181818181818,Use low-cost retention action
Male,No,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,Yes,4133.15,0.10276679841897234,High Value + Low Risk,424.75059288537545,Maintain relationship
Female,Yes,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,6851.65,Yes,6813.6,0.22826086956521738,High Value + Low Risk,1555.2782608695652,Maintain relationship
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.05,78.05,Yes,78.05,0.8977272727272727,Low Value + High Risk,70.06761363636363,Use low-cost retention action
Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.6,520.0,Yes,515.1999999999999,0.5684931506849316,Low Value + High Risk,292.8876712328767,Use low-cost retention action
Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.75,706.6,Yes,672.75,0.5684931506849316,Low Value + High Risk,382.4537671232877,Use low-cost retention action
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,20.2,Yes,20.2,0.35,Low Value + Low Risk,7.069999999999999,No immediate action
Female,Yes,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,2264.05,Yes,2245.2,0.5088495575221239,High Value + High Risk,1142.4690265486724,Prioritize retention offer
Male,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.05,56.35,Yes,50.1,0.5437262357414449,Low Value + High Risk,27.240684410646388,Use low-cost retention action
Male,Yes,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.55,2510.2,Yes,2579.85,0.5088495575221239,High Value + High Risk,1312.7555309734514,Prioritize retention offer
Male,No,No,No,57,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.3,2111.45,Yes,2240.1,0.2679738562091503,High Value + Low Risk,600.2882352941176,Maintain relationship
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.25,20.25,Yes,20.25,0.35,Low Value + Low Risk,7.0874999999999995,No immediate action
Female,No,No,No,13,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,23.9,300.8,Yes,310.7,0.38513513513513514,Low Value + Low Risk,119.66148648648648,No immediate action
Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.45,85.45,Yes,85.45,0.8977272727272727,Low Value + High Risk,76.71079545454546,Use low-cost retention action
Female,No,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),99.9,6137.0,Yes,6293.700000000001,0.22826086956521738,High Value + Low Risk,1436.6054347826089,Maintain relationship
Male,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.8,2043.45,Yes,2120.0,0.5088495575221239,High Value + High Risk,1078.7610619469026,Prioritize retention offer
Male,No,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,2576.2,Yes,2632.0,0.5088495575221239,High Value + High Risk,1339.2920353982302,Prioritize retention offer
Male,No,Yes,No,71,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,49.35,3515.25,Yes,3503.85,0.0851063829787234,High Value + Low Risk,298.2,Maintain relationship
Male,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,469.8,Yes,449.40000000000003,0.5684931506849316,Low Value + High Risk,255.48082191780827,Use low-cost retention action
Female,No,No,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,1457.25,Yes,1518.75,0.7546583850931677,High Value + High Risk,1146.1374223602486,Prioritize retention offer
Male,No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.95,185.6,Yes,170.54999999999998,0.0711743772241993,Low Value + Low Risk,12.138790035587188,No immediate action
Female,No,No,No,37,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),28.6,973.55,Yes,1058.2,0.04878048780487805,Low Value + Low Risk,51.619512195121956,No immediate action
Female,Yes,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.35,41.85,Yes,48.7,0.5437262357414449,Low Value + High Risk,26.479467680608366,Use low-cost retention action
Female,Yes,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.65,2862.75,Yes,2860.8500000000004,0.5088495575221239,High Value + High Risk,1455.7422566371683,Prioritize retention offer
Male,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95,Yes,399.5,0.5684931506849316,Low Value + High Risk,227.11301369863017,Use low-cost retention action
Female,Yes,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.3,2890.65,Yes,2892.4,0.5088495575221239,High Value + High Risk,1471.7964601769913,Prioritize retention offer
Female,No,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),96.2,1222.05,Yes,1058.2,0.7546583850931677,Low Value + High Risk,798.5795031055901,Use low-cost retention action
Male,No,Yes,No,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.15,5743.05,Yes,5728.25,0.5088495575221239,High Value + High Risk,2914.8174778761063,Prioritize retention offer
Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.95,2496.7,Yes,2470.8,0.32798165137614677,High Value + Low Risk,810.3770642201835,Maintain relationship
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,90.6,Yes,90.6,0.8977272727272727,Low Value + High Risk,81.3340909090909,Use low-cost retention action
